Date/Time,System,MCM,RCV0,RCV1,EL,AZ,GPS,IRT,S3,PMB
01/31/2021 03:22:14,0,2,2,0,2,2,2,2,2,2
01/31/2021 03:23:59,0,2,2,0,2,2,2,2,2,2
01/31/2021 03:25:43,0,2,2,0,2,2,2,2,2,2
01/31/2021 03:27:27,0,2,2,0,2,2,2,2,2,2
01/31/2021 03:29:12,0,2,2,0,2,2,2,2,2,2
01/31/2021 03:30:55,0,2,2,0,2,2,2,2,2,2
01/31/2021 03:32:39,0,2,2,0,2,2,2,2,2,2
01/31/2021 03:34:23,0,2,2,0,2,2,2,2,2,2
01/31/2021 03:36:07,0,2,2,0,2,2,2,2,2,2
01/31/2021 03:37:51,0,2,2,0,2,2,2,2,2,2
01/31/2021 03:39:35,0,2,2,0,2,2,2,2,2,2
01/31/2021 03:41:19,0,2,2,0,2,2,2,2,2,2
01/31/2021 03:43:03,0,2,2,0,2,2,2,2,2,2
01/31/2021 03:44:47,0,2,2,0,2,2,2,2,2,2
01/31/2021 03:46:31,0,2,2,0,2,2,2,2,2,2
01/31/2021 03:48:14,0,2,2,0,2,2,2,2,2,2
01/31/2021 03:49:58,0,2,2,0,2,2,2,2,2,2
01/31/2021 03:51:42,0,2,2,0,2,2,2,2,2,2
01/31/2021 03:53:26,0,2,2,0,2,2,2,2,2,2
01/31/2021 03:55:11,0,2,2,0,2,2,2,2,2,2
01/31/2021 03:56:54,0,2,2,0,2,2,2,2,2,2
01/31/2021 03:58:39,0,2,2,0,2,2,2,2,2,2
01/31/2021 04:00:22,0,2,2,0,2,2,2,2,2,2
01/31/2021 04:02:06,0,2,2,0,2,2,2,2,2,2
01/31/2021 04:03:50,0,2,2,0,2,2,2,2,2,2
01/31/2021 04:05:34,0,2,2,0,2,2,2,2,2,2
01/31/2021 04:07:18,0,2,2,0,2,2,2,2,2,2
01/31/2021 04:09:02,0,2,2,0,2,2,2,2,2,2
01/31/2021 04:10:46,0,2,2,0,2,2,2,2,2,2
01/31/2021 04:12:30,0,2,2,0,2,2,2,2,2,2
01/31/2021 04:14:13,0,2,2,0,2,2,2,2,2,2
01/31/2021 04:15:57,0,2,2,0,2,2,2,2,2,2
01/31/2021 04:17:41,0,2,2,0,2,2,2,2,2,2
01/31/2021 04:19:26,0,2,2,0,2,2,2,2,2,2
01/31/2021 04:21:10,0,2,2,0,2,2,2,2,2,2
01/31/2021 04:22:54,0,2,2,0,2,2,2,2,2,2
01/31/2021 04:24:37,0,2,2,0,2,2,2,2,2,2
01/31/2021 04:26:21,0,2,2,0,2,2,2,2,2,2
01/31/2021 04:28:05,0,2,2,0,2,2,2,2,2,2
01/31/2021 04:29:49,0,2,2,0,2,2,2,2,2,2
01/31/2021 04:31:33,0,2,2,0,2,2,2,2,2,2
01/31/2021 04:33:18,0,2,2,0,2,2,2,2,2,2
01/31/2021 04:35:02,0,2,2,0,2,2,2,2,2,2
01/31/2021 04:36:46,0,2,2,0,2,2,2,2,2,2
01/31/2021 04:38:31,0,2,2,0,2,2,2,2,2,2
